Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1648787,5-Jan-15,13-Nov-14,3064,1577629,0,514,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648787,SRX757914,3174337,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743062,SAMN03174337,simple,11676,Human immunodeficiency virus 1,6-233_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,4D026273368AA426ED0234CB2491D017,BC2B9CC0546F3CDD8F26D6FF2B514B44
SRR1648788,5-Jan-15,13-Nov-14,3142,1588359,0,505,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648788,SRX757915,3174338,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743060,SAMN03174338,simple,11676,Human immunodeficiency virus 1,6-244_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,88AE9FC5EE3282634B64C938E6B18C8B,B328147E4BE9FE2B32611A9D0A91D87F
SRR1648789,5-Jan-15,13-Nov-14,3327,1685348,0,506,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648789,SRX757916,3174339,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743063,SAMN03174339,simple,11676,Human immunodeficiency virus 1,6-244_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,E2B646F75F8C8913916265B2C772F261,20BB14CB4E3B1360698AE8D2CB2EC943
SRR1648790,5-Jan-15,13-Nov-14,2353,1197434,0,508,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648790,SRX757917,3174340,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743064,SAMN03174340,simple,11676,Human immunodeficiency virus 1,6-245_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,7856ACB8B3DC6B195C79191D0DA202AC,3D6500728C40C27CCDCE90D0D27FF25B
SRR1648791,5-Jan-15,13-Nov-14,3361,1704300,0,507,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648791,SRX757918,3174341,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743066,SAMN03174341,simple,11676,Human immunodeficiency virus 1,6-245_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,738768DE3A68461DAF3D67546CD8B36A,ACA6535B357C8A63FCFD13C088935081
SRR1648792,5-Jan-15,13-Nov-14,3094,1616930,0,522,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648792,SRX757919,3174342,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743065,SAMN03174342,simple,11676,Human immunodeficiency virus 1,6-249_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,16F197E09E139EE79EE9E311F103CF6D,C528C71A18F5D3FBD33378DD7906DA68
SRR1648793,5-Jan-15,13-Nov-14,3555,1856685,0,522,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648793,SRX757920,3174343,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743067,SAMN03174343,simple,11676,Human immunodeficiency virus 1,6-249_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,0EFB15281622FA4DC105A5333D9585AB,DD79070AE4B1D8E64240D4A8AD279D2A
SRR1648794,5-Jan-15,13-Nov-14,2666,1318240,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648794,SRX757921,3174344,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743068,SAMN03174344,simple,11676,Human immunodeficiency virus 1,6-253_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,A1C1526D295EA8B9D0C32AC8E5C63EE7,5B78AA1AD0E870E33E186C60CF061F06
SRR1648795,5-Jan-15,13-Nov-14,3998,1968974,0,492,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648795,SRX757922,3174345,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743070,SAMN03174345,simple,11676,Human immunodeficiency virus 1,6-253_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,6CCAD5C5D9F4AE4A2D18B0D9AAE92BDC,BC0B9A159F6C3B4E9944B3394D38F0C4
SRR1648796,5-Jan-15,13-Nov-14,2815,1426160,0,506,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648796,SRX757923,3174346,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743069,SAMN03174346,simple,11676,Human immunodeficiency virus 1,6-257_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,7C03E85C325C73A540327A5A4AAAAAC1,76CB6C4ED1071964EC12CCC6577D4597
